code,index_name,event_type,event_date
7011.T,Nikkei225,IN,2026-01-18
6305.T,Nikkei225,IN,2026-01-18
6098.T,Nikkei225,IN,2026-01-18
5831.T,Nikkei225,IN,2026-01-18
6920.T,Nikkei225,IN,2026-01-18
9433.T,Nikkei225,IN,2026-01-18
7951.T,Nikkei225,IN,2026-01-18
8267.T,Nikkei225,IN,2026-01-18
5214.T,Nikkei225,IN,2026-01-18
6971.T,Nikkei225,IN,2026-01-18
8411.T,Nikkei225,IN,2026-01-18
6471.T,Nikkei225,IN,2026-01-18
9022.T,Nikkei225,IN,2026-01-18
6103.T,Nikkei225,IN,2026-01-18
6902.T,Nikkei225,IN,2026-01-18
6861.T,Nikkei225,IN,2026-01-18
8309.T,Nikkei225,IN,2026-01-18
7201.T,Nikkei225,IN,2026-01-18
4183.T,Nikkei225,IN,2026-01-18
8308.T,Nikkei225,IN,2026-01-18
7453.T,Nikkei225,IN,2026-01-18
7186.T,Nikkei225,IN,2026-01-18
8591.T,Nikkei225,IN,2026-01-18
1808.T,Nikkei225,IN,2026-01-18
3099.T,Nikkei225,IN,2026-01-18
8630.T,Nikkei225,IN,2026-01-18
6506.T,Nikkei225,IN,2026-01-18
8795.T,Nikkei225,IN,2026-01-18
5711.T,Nikkei225,IN,2026-01-18
2802.T,Nikkei225,IN,2026-01-18
5101.T,Nikkei225,IN,2026-01-18
6367.T,Nikkei225,IN,2026-01-18
4902.T,Nikkei225,IN,2026-01-18
2501.T,Nikkei225,IN,2026-01-18
6473.T,Nikkei225,IN,2026-01-18
6753.T,Nikkei225,IN,2026-01-18
2502.T,Nikkei225,IN,2026-01-18
6841.T,Nikkei225,IN,2026-01-18
9005.T,Nikkei225,IN,2026-01-18
7735.T,Nikkei225,IN,2026-01-18
6981.T,Nikkei225,IN,2026-01-18
7731.T,Nikkei225,IN,2026-01-18
9064.T,Nikkei225,IN,2026-01-18
4005.T,Nikkei225,IN,2026-01-18
8253.T,Nikkei225,IN,2026-01-18
3289.T,Nikkei225,IN,2026-01-18
7004.T,Nikkei225,IN,2026-01-18
6702.T,Nikkei225,IN,2026-01-18
7751.T,Nikkei225,IN,2026-01-18
9502.T,Nikkei225,IN,2026-01-18
9983.T,Nikkei225,IN,2026-01-18
5333.T,Nikkei225,IN,2026-01-18
3436.T,Nikkei225,IN,2026-01-18
4021.T,Nikkei225,IN,2026-01-18
5406.T,Nikkei225,IN,2026-01-18
7741.T,Nikkei225,IN,2026-01-18
8766.T,Nikkei225,IN,2026-01-18
6273.T,Nikkei225,IN,2026-01-18
9434.T,Nikkei225,IN,2026-01-18
4208.T,Nikkei225,IN,2026-01-18
2503.T,Nikkei225,IN,2026-01-18
6723.T,Nikkei225,IN,2026-01-18
5019.T,Nikkei225,IN,2026-01-18
6501.T,Nikkei225,IN,2026-01-18
2801.T,Nikkei225,IN,2026-01-18
4568.T,Nikkei225,IN,2026-01-18
1963.T,Nikkei225,IN,2026-01-18
2002.T,Nikkei225,IN,2026-01-18
9532.T,Nikkei225,IN,2026-01-18
3382.T,Nikkei225,IN,2026-01-18
2282.T,Nikkei225,IN,2026-01-18
3659.T,Nikkei225,IN,2026-01-18
7203.T,Nikkei225,IN,2026-01-18
9201.T,Nikkei225,IN,2026-01-18
1802.T,Nikkei225,IN,2026-01-18
9531.T,Nikkei225,IN,2026-01-18
6857.T,Nikkei225,IN,2026-01-18
2914.T,Nikkei225,IN,2026-01-18
5706.T,Nikkei225,IN,2026-01-18
4042.T,Nikkei225,IN,2026-01-18
8725.T,Nikkei225,IN,2026-01-18
4188.T,Nikkei225,IN,2026-01-18
1928.T,Nikkei225,IN,2026-01-18
4307.T,Nikkei225,IN,2026-01-18
4519.T,Nikkei225,IN,2026-01-18
