code,name,market_segment,sector_33,sector_17,is_active,last_updated,last_price_update,last_info_update
1301.T,極洋,プライム(内国株式),水産・農林業,食品,True,2026-01-18,2026-01-31,
1305.T,iFreeETF TOPIX(年1回決算型),ETF・ETN,-,-,True,2026-01-18,2026-02-01,
1306.T,NEXT FUNDS TOPIX連動型上場投信,ETF・ETN,-,-,True,2026-01-18,2026-01-31,
1308.T,上場インデックスファンドTOPIX,ETF・ETN,-,-,True,2026-01-18,2026-02-01,
1309.T,NEXT FUNDS ChinaAMC・中国株式・上証50連動型上場投信,ETF・ETN,-,-,True,2026-01-18,2026-02-01,
1311.T,NEXT FUNDS TOPIX Core 30連動型上場投信,ETF・ETN,-,-,True,2026-01-18,2026-02-01,
1319.T,NEXT FUNDS 日経300株価指数連動型上場投信,ETF・ETN,-,-,True,2026-01-18,2026-02-01,
1320.T,iFreeETF 日経225(年1回決算型),ETF・ETN,-,-,True,2026-01-18,2026-02-01,
1321.T,NEXT FUNDS 日経225連動型上場投信,ETF・ETN,-,-,True,2026-01-18,2026-02-01,
1322.T,上場インデックスファンド中国A株(パンダ)E Fund CSI300,ETF・ETN,-,-,True,2026-01-18,2026-02-01,
1325.T,NEXT FUNDS ブラジル株式指数・ボベスパ連動型上場投信,ETF・ETN,-,-,True,2026-01-18,2026-02-01,
1326.T,SPDRゴールド・シェア,ETF・ETN,-,-,True,2026-01-18,2026-02-01,
1328.T,NEXT FUNDS 金価格連動型上場投信,ETF・ETN,-,-,True,2026-01-18,2026-02-01,
1329.T,iシェアーズ・コア 日経225 ETF,ETF・ETN,-,-,True,2026-01-18,2026-02-01,
1330.T,上場インデックスファンド225,ETF・ETN,-,-,True,2026-01-18,2026-02-01,
1332.T,ニッスイ,プライム(内国株式),水産・農林業,食品,True,2026-01-18,2026-02-01,
1333.T,マルハニチロ,プライム(内国株式),水産・農林業,食品,True,2026-01-18,2026-02-01,
1343.T,NEXT FUNDS 東証REIT 指数連動型上場投信,ETF・ETN,-,-,True,2026-01-18,2026-02-01,
1345.T,上場インデックスファンドJリート(東証REIT指数)隔月分配型,ETF・ETN,-,-,True,2026-01-18,2026-02-01,
1346.T,MAXIS 日経225上場投信,ETF・ETN,-,-,True,2026-01-18,2026-02-01,
1348.T,MAXIS トピックス上場投信,ETF・ETN,-,-,True,2026-01-18,2026-02-01,
1349.T,ABF汎アジア債券インデックス・ファンド,ETF・ETN,-,-,True,2026-01-18,2026-01-31,
1356.T,TOPIXベア2倍上場投信,ETF・ETN,-,-,True,2026-01-18,2026-02-01,
1357.T,NEXT FUNDS 日経平均ダブルインバース・インデックス連動型上場投信,ETF・ETN,-,-,True,2026-01-18,2026-02-01,
1358.T,上場インデックスファンド日経レバレッジ指数,ETF・ETN,-,-,True,2026-01-18,2026-02-01,
1360.T,日経平均ベア2倍上場投信,ETF・ETN,-,-,True,2026-01-18,2026-02-01,
1364.T,iシェアーズ JPX日経400 ETF,ETF・ETN,-,-,True,2026-01-18,2026-01-31,
1365.T,iFreeETF 日経平均レバレッジ・インデックス,ETF・ETN,-,-,True,2026-01-18,2026-01-31,
1366.T,iFreeETF 日経平均ダブルインバース・インデックス,ETF・ETN,-,-,True,2026-01-18,2026-01-31,
